Match ID,Home result,Away result,Home team,Away team
181691068,2,0,175403,175327
181691069,2,1,175295,175359
181691070,0,4,175315,175309
181691071,0,3,175392,175338
181691072,2,1,175383,175368
181691073,2,3,175368,175338
181691074,1,1,175359,175309
181691075,1,2,175392,175403
181691076,6,0,175383,175315
181691077,3,2,175295,175327
181691078,3,1,175403,175383
181691079,1,1,175338,175295
181691080,2,4,175315,175392
181691081,1,2,175309,175327
181691082,2,3,175359,175368
181691083,1,1,175392,175359
181691084,4,1,175383,175327
181691085,0,2,175338,175403
181691086,1,3,175295,175309
181691087,1,12,175315,175368
181691088,2,2,175338,175309
181691089,1,2,175309,175338
181691090,2,2,175327,175392
181691091,5,1,175403,175315
181691092,2,1,175368,175295
181691093,2,1,175359,175383
181691094,3,2,175327,175368
181691095,1,0,175392,175315
181691096,4,0,175403,175359
181691097,1,1,175295,175383
181691098,2,2,175368,175403
181691099,1,0,175295,175315
181691100,1,1,175359,175327
181691101,3,0,175338,175383
181691102,0,1,175309,175392
181691103,2,0,175403,175309
181691104,2,3,175327,175338
181691105,0,2,175392,175368
181691106,1,5,175315,175359
181691107,1,1,175383,175295
181691108,3,2,175368,175392
181691109,0,1,175309,175383
181691110,1,2,175359,175403
181691111,2,1,175368,175327
181691112,1,1,175392,175295
181691113,3,0,175338,175315
181691114,1,2,175327,175359
181691115,3,2,175309,175315
181691116,1,3,175383,175338
181691117,3,0,175338,175359
181691118,4,0,175327,175315
181691119,1,0,175403,175295
181691120,1,4,175392,175383
181691121,0,2,175309,175368
181691122,1,0,175368,175359
181691123,1,0,175295,175338
181691124,1,4,175392,175327
181691125,1,6,175315,175403
181691126,5,0,175383,175309
181691127,4,2,175309,175295
181691128,3,2,175403,175368
181691129,0,1,175327,175383
181691130,3,0,175359,175315
181691131,3,1,175338,175392
181691132,1,3,175327,175403
181691133,1,2,175392,175309
181691134,3,2,175338,175368
181691135,6,0,175383,175315
181691136,0,0,175359,175295
181691137,1,3,175309,175403
181691138,0,1,175315,175327
181691139,1,2,175368,175383
181691140,0,0,175359,175338
181691141,2,2,175295,175392
181691142,2,0,175403,175338
181691143,0,0,175327,175295
181691144,2,2,175309,175359
181691145,5,2,175383,175392
181691146,1,1,175368,175315
181691147,2,1,175295,175403
181691148,1,3,175338,175327
181691149,2,2,175368,175309
181691150,4,0,175383,175403
181691151,1,2,175315,175295
181691152,3,1,175359,175392
181691153,7,1,175327,175309
181691154,4,0,175403,175392
181691155,3,0,175383,175359
181691156,0,2,175315,175338
181691157,2,4,175295,175368
