Match ID,Home result,Away result,Home team,Away team
261888691,1,1,183407,175309
261888692,2,1,175359,175383
261888693,0,9,175392,175403
261888694,0,2,175295,175368
261888695,3,3,175338,175327
261888696,3,0,175403,175309
261888697,0,5,175392,175295
261888698,2,1,175338,175359
261888699,2,4,175368,175327
261888700,1,3,183407,175383
261888701,2,1,183407,175368
261888702,2,0,175359,175403
261888703,0,0,175383,175309
261888704,6,0,175338,175392
261888705,2,0,175295,175327
261888706,0,1,175309,175295
261888707,0,2,183407,175403
261888708,1,2,175368,175359
261888709,0,5,175383,175338
261888710,2,0,175403,175338
261888711,0,1,175383,175295
261888712,0,1,175392,183407
261888713,3,2,175368,175309
261888714,1,4,175327,175359
261888715,3,0,175309,175403
261888716,1,1,175359,175338
261888717,0,0,175383,183407
261888718,3,2,175327,175368
261888719,1,0,175295,175392
261888720,5,3,175403,175327
261888721,0,0,175392,175383
261888722,5,0,175338,175368
261888723,2,0,175359,175309
261888724,1,0,183407,175295
261888725,3,0,175327,175392
261888726,1,4,175327,175338
261888727,2,0,175403,175392
261888728,0,0,175309,183407
261888729,0,2,175383,175359
261888730,0,3,175368,175295
261888731,1,0,175327,175383
261888732,4,0,175403,175368
261888733,4,2,175359,183407
261888734,5,0,175338,175295
261888735,2,1,175392,175309
261888736,0,2,175338,175403
261888737,1,1,175309,175368
261888738,2,0,175295,175383
261888739,2,0,175359,175327
261888740,2,0,183407,175392
261888741,2,2,175359,175368
261888742,1,0,175295,175309
261888743,1,0,175403,183407
261888744,1,0,175338,175383
261888745,1,0,175392,175327
261888747,1,2,175327,175403
