Match ID,Home result,Away result,Home team,Away team
262600488,1,3,175416,175410
262600489,2,0,175310,183418
262600490,1,1,175360,183427
262600491,2,3,175389,175296
262600492,1,3,175410,175296
262600494,0,3,183426,175310
262600495,11,1,175296,175410
262600496,0,0,183418,183427
262600497,1,1,175310,183426
262600498,4,3,175389,175360
262600499,1,2,175410,175360
262600500,5,1,175296,183427
262600501,4,1,175310,175360
262600502,1,0,175389,175416
262600503,2,2,183427,183418
262600504,6,2,183418,183426
262600505,2,0,175360,183426
262600506,2,4,183427,175296
262600507,3,1,175416,175389
262600508,2,3,175360,175310
262600509,1,2,183427,183426
262600510,8,2,175296,175416
262600511,2,2,183418,175389
262600512,1,0,175410,183427
262600513,1,1,183418,175360
262600515,3,1,175296,183426
262600516,0,3,175410,183418
262600517,0,4,175416,175360
262600519,2,2,183427,175310
262600520,6,5,183426,175389
262600521,2,2,183418,175296
262600522,4,3,175310,175410
262600523,0,3,175389,183427
262600524,5,1,175416,183426
262600525,1,0,175410,175389
262600526,3,2,175296,175310
262600527,3,2,183427,175416
262600528,2,1,175410,175416
262600529,4,0,175296,175389
262600530,2,1,183418,175310
262600532,0,1,175310,183427
262600533,0,3,183427,175360
262603228,2,0,175393,175351
262603229,0,0,175322,175356
262603230,0,2,175369,183414
262603231,0,0,175339,175735
262603232,0,2,175351,175339
262603233,3,0,175356,175393
262603234,0,3,175369,175322
262603235,0,0,175735,183414
262603236,2,1,175351,175735
262603237,1,2,175393,175369
262603238,2,1,175322,175339
262603239,0,4,175356,183414
262603240,3,3,175369,175351
262603241,0,0,175339,175356
262603242,0,1,183414,175322
262603243,5,0,175735,175356
262603244,4,1,175339,175393
262603245,0,2,175393,183414
262603246,2,2,175322,175735
262603247,1,2,175356,175351
262603248,2,3,175369,175339
262603249,1,3,175393,175322
262603250,3,3,183414,175351
262603251,6,1,175735,175369
262603252,0,0,175351,175322
262603253,1,2,175356,175369
262603254,1,0,183414,175339
262603255,3,1,175735,175393
262603256,1,5,175393,175356
262603257,0,0,175322,175369
262603258,2,5,183414,175735
262603259,0,0,175339,175351
262603260,3,0,175351,183414
262603261,6,2,175322,175393
262603262,5,2,175356,175339
262603263,2,1,175369,175735
262603264,4,1,175351,175393
262603265,1,4,183414,175369
262603266,2,3,175356,175322
262603267,3,0,175735,175339
262605117,1,2,175406,175333
262605118,9,0,183410,183422
262605119,2,0,175385,175399
262605120,0,1,175333,183411
262605121,2,2,175399,175328
262605122,2,1,183410,175406
262605123,0,1,175385,183422
262605124,0,2,183422,175328
262605125,7,0,183411,175406
262605126,1,5,175333,175399
262605127,0,5,175385,183410
262605128,0,2,183422,175333
262605129,2,3,183411,175399
262605130,2,1,183410,175328
262605131,2,3,175385,175406
262605133,1,8,175333,183410
262605134,0,1,175406,175399
262605135,5,1,183411,183422
262605136,1,3,183422,175399
262605137,1,0,175406,175328
262605138,2,1,183410,183411
262605139,4,0,175385,175333
262605141,1,2,175333,183422
262605142,2,2,175328,183411
262605143,2,0,175406,175385
262605144,3,0,175399,183411
262605145,5,8,175333,175328
262605146,1,1,183422,175406
262605147,1,3,183411,175385
262605148,2,0,175399,183410
262605149,1,0,183422,175385
262605151,1,2,175406,183410
262605152,4,0,183411,175333
262605153,0,3,175333,175406
262605154,1,2,183422,183410
262605155,1,1,175399,175385
262605156,1,2,183411,175328
