Match ID,Home result,Away result,Home team,Away team
261913436,6,1,175332,175321
261913449,0,2,175415,183405
261913452,0,2,175404,183409
261913453,2,8,175736,175415
261913454,1,0,175350,183405
261913455,0,1,175404,175332
261913456,1,6,175321,175409
261913457,0,1,183409,175409
261913458,0,2,175321,175404
261913459,1,0,175332,175350
261913460,1,1,183405,175736
261913461,4,2,175350,175415
261913462,3,2,183409,175321
261913463,1,4,175409,175332
261913465,2,4,175404,175736
261913466,0,1,175321,175332
261913467,1,0,183409,183405
261913468,0,1,175409,175415
