Match ID,home_result,away_result,Home team,Away team,Name,Match date (EDT)
262605117,1,2,175406,175333,League2 Ontario (M) Southwest 2025,2025-04-26 16:00:00
262605118,9,0,183410,183422,League2 Ontario (M) Southwest 2025,2025-04-27 17:30:00
262605119,2,0,175385,175399,League2 Ontario (M) Southwest 2025,2025-04-27 21:00:00
262605120,0,1,175333,183411,League2 Ontario (M) Southwest 2025,2025-04-29 20:30:00
262605121,2,2,175399,175328,League2 Ontario (M) Southwest 2025,2025-04-30 20:30:00
262605122,2,1,183410,175406,League2 Ontario (M) Southwest 2025,2025-05-04 17:30:00
262605123,0,1,175385,183422,League2 Ontario (M) Southwest 2025,2025-05-04 21:00:00
262605124,0,2,183422,175328,League2 Ontario (M) Southwest 2025,2025-05-08 21:00:00
262605125,7,0,183411,175406,League2 Ontario (M) Southwest 2025,2025-05-10 19:30:00
262605126,1,5,175333,175399,League2 Ontario (M) Southwest 2025,2025-05-10 20:00:00
262605127,0,5,175385,183410,League2 Ontario (M) Southwest 2025,2025-05-11 21:00:00
262605128,0,2,183422,175333,League2 Ontario (M) Southwest 2025,2025-05-14 21:00:00
262605129,2,3,183411,175399,League2 Ontario (M) Southwest 2025,2025-05-17 19:30:00
262605130,2,1,183410,175328,League2 Ontario (M) Southwest 2025,2025-05-18 13:00:00
262605131,2,3,175385,175406,League2 Ontario (M) Southwest 2025,2025-05-18 21:00:00
262605133,1,8,175333,183410,League2 Ontario (M) Southwest 2025,2025-05-25 13:30:00
262605134,0,1,175406,175399,League2 Ontario (M) Southwest 2025,2025-05-24 13:00:00
262605135,5,1,183411,183422,League2 Ontario (M) Southwest 2025,2025-05-24 19:30:00
262605136,1,3,183422,175399,League2 Ontario (M) Southwest 2025,2025-05-28 19:00:00
262605137,1,0,175406,175328,League2 Ontario (M) Southwest 2025,2025-05-31 13:00:00
262605138,2,1,183410,183411,League2 Ontario (M) Southwest 2025,2025-06-01 17:00:00
262605139,4,0,175385,175333,League2 Ontario (M) Southwest 2025,2025-06-01 21:00:00
262605141,1,2,175333,183422,League2 Ontario (M) Southwest 2025,2025-06-03 20:30:00
262605142,2,2,175328,183411,League2 Ontario (M) Southwest 2025,2025-06-04 21:00:00
262605143,2,0,175406,175385,League2 Ontario (M) Southwest 2025,2025-06-07 16:00:00
262605144,3,0,175399,183411,League2 Ontario (M) Southwest 2025,2025-06-07 20:00:00
262605145,5,8,175333,175328,League2 Ontario (M) Southwest 2025,2025-06-10 20:30:00
262605146,1,1,183422,175406,League2 Ontario (M) Southwest 2025,2025-06-11 21:00:00
262605147,1,3,183411,175385,League2 Ontario (M) Southwest 2025,2025-06-14 19:30:00
262605148,2,0,175399,183410,League2 Ontario (M) Southwest 2025,2025-06-14 20:00:00
262605149,1,0,183422,175385,League2 Ontario (M) Southwest 2025,2025-06-18 19:00:00
262605151,1,2,175406,183410,League2 Ontario (M) Southwest 2025,2025-06-21 15:30:00
262605152,4,0,183411,175333,League2 Ontario (M) Southwest 2025,2025-06-21 19:30:00
262605153,0,3,175333,175406,League2 Ontario (M) Southwest 2025,2025-06-24 20:30:00
262605154,1,2,183422,183410,League2 Ontario (M) Southwest 2025,2025-06-25 19:30:00
262605155,1,1,175399,175385,League2 Ontario (M) Southwest 2025,2025-06-25 20:30:00
262605156,1,2,183411,175328,League2 Ontario (M) Southwest 2025,2025-06-28 19:30:00
