Match ID,home_result,away_result,Home team,Away team,Name,Match date (EDT)
262611501,0,2,175425,183416,League1 Ontario U-20 Summer League (M) Central 2025,2025-04-22 21:00:00
262611502,1,1,175353,175395,League1 Ontario U-20 Summer League (M) Central 2025,2025-04-23 21:00:00
262611503,2,6,175357,176210,League1 Ontario U-20 Summer League (M) Central 2025,2025-04-24 21:00:00
262611504,0,9,183436,175298,League1 Ontario U-20 Summer League (M) Central 2025,2025-04-25 18:45:00
262611505,1,3,175737,175341,League1 Ontario U-20 Summer League (M) Central 2025,2025-04-22 21:00:00
262611506,7,2,175298,183416,League1 Ontario U-20 Summer League (M) Central 2025,2025-04-29 19:00:00
262611507,3,0,175395,175737,League1 Ontario U-20 Summer League (M) Central 2025,2025-04-29 21:15:00
262611508,6,1,176210,175353,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-16 21:15:00
262611509,1,1,183436,175357,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-02 21:00:00
262611510,2,0,175341,175425,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-02 21:00:00
262611511,7,1,183416,175737,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-05 20:00:00
262611512,3,2,175341,175353,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-05 21:00:00
262611513,1,5,175425,175298,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-06 21:00:00
262611514,4,0,176210,183436,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-06 21:15:00
262611515,3,1,175395,175357,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-07 21:15:00
262611516,4,0,175737,175425,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-12 21:00:00
262611517,2,3,175298,176210,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-13 19:00:00
262611518,0,2,175353,183416,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-15 21:00:00
262611519,2,4,183436,175395,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-15 18:45:00
262611520,1,2,183416,175357,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-19 20:00:00
262611521,5,1,175341,183436,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-19 21:00:00
262611522,3,1,175298,175737,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-20 19:00:00
262611523,0,0,175425,175353,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-20 21:00:00
262611524,1,7,175395,176210,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-22 19:00:00
262611525,3,3,176210,175341,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-27 21:15:00
262611526,1,3,175395,175298,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-27 19:00:00
262611527,0,0,175357,175425,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-29 21:00:00
262611528,0,3,175353,175737,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-29 21:00:00
262611529,0,1,183436,183416,League1 Ontario U-20 Summer League (M) Central 2025,2025-05-30 21:00:00
262611530,2,4,175341,175395,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-02 21:00:00
262611531,4,3,183416,176210,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-02 21:00:00
262611532,1,2,175737,175357,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-02 21:00:00
262611533,2,1,175425,183436,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-03 21:00:00
262611534,0,4,175353,175298,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-05 21:00:00
262611535,2,1,175298,175341,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-10 19:00:00
262611536,4,0,176210,175425,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-10 21:15:00
262611537,4,1,175357,175353,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-12 21:00:00
262611538,1,2,175395,183416,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-09 19:00:00
262611539,2,3,183436,175737,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-13 21:00:00
262611540,3,4,183416,175341,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-16 21:00:00
262611541,3,0,175298,175357,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-17 19:00:00
262611542,0,0,175425,175395,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-17 21:00:00
262611543,3,3,175353,183436,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-19 21:00:00
262611545,2,2,175341,175737,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-23 21:00:00
262611546,4,0,183416,175425,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-23 21:00:00
262611547,5,3,175298,183436,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-24 19:00:00
262611548,3,0,176210,175357,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-24 21:15:00
262611549,2,1,175395,175353,League1 Ontario U-20 Summer League (M) Central 2025,2025-06-25 21:15:00
