Match ID,Home result,Away result,Home team,Away team
262612912,1,0,175384,175335
262612913,1,2,183424,183435
262612914,1,1,175421,183433
262612915,1,2,175407,175330
262612916,1,2,183433,175384
262612917,1,1,183424,175421
262612918,2,3,175407,183435
262612919,0,2,175335,175330
262612920,2,2,183424,175335
262612921,2,0,183435,175330
262612922,4,0,183433,175407
262612923,0,2,175421,175384
262612924,4,2,183433,175335
262612925,2,0,183424,175330
262612926,3,3,183435,175384
262612927,2,0,175421,175407
262612928,4,3,175384,175421
262612929,1,2,175330,183435
262612930,2,5,175407,183433
262612931,3,1,175335,183424
262612932,0,5,183424,183433
262612933,1,2,183435,175335
262612934,6,2,175421,175330
262612935,1,2,175407,175384
262612936,1,1,175335,183433
262612937,1,2,175384,183435
262612938,0,0,175330,183424
262612939,3,2,175407,175421
262612940,9,1,183433,183424
262612941,1,2,175330,175421
262612942,3,1,175384,175407
262612943,3,2,175335,183435
262612944,1,2,175384,183433
262612946,3,2,175330,175335
262612947,4,2,175421,183424
262612949,1,4,175330,183433
262612950,3,3,175335,175407
