Match ID,home_result,away_result,Home team,Away team,Name,Match date (EDT)
261913425,3,0,175350,175736,League1 Ontario Championship Division (W) 2025,2025-04-20 18:00:00
261913426,0,0,175404,175415,League1 Ontario Championship Division (W) 2025,2025-04-20 14:00:00
261913427,3,0,183409,175332,League1 Ontario Championship Division (W) 2025,2025-04-20 14:00:00
261913428,2,1,175409,183405,League1 Ontario Championship Division (W) 2025,2025-04-20 17:00:00
261913429,5,1,175415,175736,League1 Ontario Championship Division (W) 2025,2025-04-25 20:00:00
261913430,0,2,175332,175404,League1 Ontario Championship Division (W) 2025,2025-04-26 13:00:00
261913431,0,2,175409,175321,League1 Ontario Championship Division (W) 2025,2025-04-26 20:30:00
261913432,2,0,183405,175350,League1 Ontario Championship Division (W) 2025,2025-04-27 14:00:00
261913433,1,2,175736,175404,League1 Ontario Championship Division (W) 2025,2025-05-03 13:00:00
261913434,1,1,175415,175409,League1 Ontario Championship Division (W) 2025,2025-05-03 18:00:00
261913435,1,1,183405,183409,League1 Ontario Championship Division (W) 2025,2025-05-04 18:30:00
261913436,6,1,175332,175321,League1 Ontario Championship Division (W) 2025,2025-06-25 20:00:00
261913437,0,2,175409,175404,League1 Ontario Championship Division (W) 2025,2025-05-11 20:00:00
261913438,2,0,183409,175350,League1 Ontario Championship Division (W) 2025,2025-05-09 20:00:00
261913439,0,0,175321,175736,League1 Ontario Championship Division (W) 2025,2025-05-11 12:30:00
261913440,0,1,175332,175415,League1 Ontario Championship Division (W) 2025,2025-05-06 20:00:00
261913441,1,2,183405,175332,League1 Ontario Championship Division (W) 2025,2025-05-18 18:30:00
261913442,3,1,175415,175321,League1 Ontario Championship Division (W) 2025,2025-05-16 20:00:00
261913443,1,1,175736,183409,League1 Ontario Championship Division (W) 2025,2025-05-17 13:00:00
261913444,2,1,175350,175409,League1 Ontario Championship Division (W) 2025,2025-05-18 20:30:00
261913445,1,1,175404,175350,League1 Ontario Championship Division (W) 2025,2025-05-23 20:00:00
261913446,5,6,175409,175736,League1 Ontario Championship Division (W) 2025,2025-05-25 16:15:00
261913447,1,1,183409,175415,League1 Ontario Championship Division (W) 2025,2025-05-23 20:00:00
261913448,1,2,175321,183405,League1 Ontario Championship Division (W) 2025,2025-05-25 12:30:00
261913449,0,2,175415,183405,League1 Ontario Championship Division (W) 2025,2025-06-01 15:00:00
261913450,5,2,175736,175332,League1 Ontario Championship Division (W) 2025,2025-05-31 13:00:00
261913451,5,1,175350,175321,League1 Ontario Championship Division (W) 2025,2025-05-31 18:00:00
261913452,0,2,175404,183409,League1 Ontario Championship Division (W) 2025,2025-06-01 13:00:00
261913453,2,8,175736,175415,League1 Ontario Championship Division (W) 2025,2025-06-07 13:00:00
261913454,1,0,175350,183405,League1 Ontario Championship Division (W) 2025,2025-06-08 18:00:00
261913455,0,1,175404,175332,League1 Ontario Championship Division (W) 2025,2025-06-08 16:00:00
261913456,1,6,175321,175409,League1 Ontario Championship Division (W) 2025,2025-06-08 12:30:00
261913457,0,1,183409,175409,League1 Ontario Championship Division (W) 2025,2025-06-12 21:00:00
261913458,0,2,175321,175404,League1 Ontario Championship Division (W) 2025,2025-06-04 20:30:00
261913459,1,0,175332,175350,League1 Ontario Championship Division (W) 2025,2025-06-11 20:00:00
261913460,1,1,183405,175736,League1 Ontario Championship Division (W) 2025,2025-06-10 20:00:00
261913461,4,2,175350,175415,League1 Ontario Championship Division (W) 2025,2025-06-14 20:30:00
261913462,3,2,183409,175321,League1 Ontario Championship Division (W) 2025,2025-06-15 14:00:00
261913463,1,4,175409,175332,League1 Ontario Championship Division (W) 2025,2025-06-15 16:15:00
261913465,2,4,175404,175736,League1 Ontario Championship Division (W) 2025,2025-06-22 18:00:00
261913466,0,1,175321,175332,League1 Ontario Championship Division (W) 2025,2025-06-21 12:30:00
261913467,1,0,183409,183405,League1 Ontario Championship Division (W) 2025,2025-06-22 17:30:00
261913468,0,1,175409,175415,League1 Ontario Championship Division (W) 2025,2025-06-22 16:15:00
261913470,1,3,175736,175350,League1 Ontario Championship Division (W) 2025,2025-06-28 13:00:00
