Match ID,Home result,Away result,Home team,Away team
262614011,0,0,175419,183421
262614012,1,0,175396,183438
262614013,1,1,175372,183437
262614014,3,0,175342,183417
262614015,4,0,183417,183437
262614016,0,2,183421,175396
262614017,2,2,175372,175419
262614018,1,1,183438,175342
262614019,1,0,183421,183437
262614020,0,4,175419,175342
262614021,0,3,175396,175372
262614022,0,3,183438,183417
262614023,5,0,175342,183421
262614024,0,1,183417,175372
262614025,0,0,175396,175419
262614026,0,3,183437,183438
262614027,2,2,175419,183417
262614028,1,2,183421,183438
262614029,2,3,175372,175342
262614030,3,2,175396,183437
262614031,4,1,175342,175396
262614032,3,2,183417,183421
262614034,5,0,175372,183438
262614035,1,6,183421,175372
262614036,0,3,183437,175342
262614037,4,3,183417,175396
262614038,1,2,183438,175419
262614039,4,0,175342,183438
262614040,1,2,175396,183421
262614041,0,4,175419,175372
262614042,1,4,183437,183417
262614043,2,0,175342,175419
262614044,4,0,183417,183438
262614045,1,1,183437,183421
262614046,2,1,175372,175396
262614047,1,2,183421,175342
262614048,2,1,175419,175396
262614049,2,1,175372,183417
