Match ID,home_result,away_result,Home team,Away team,Name,Match date (EDT)
261888691,1,1,183407,175309,League1 Ontario Premier Division (W) 2025,2025-04-16 20:00:00
261888692,2,1,175359,175383,League1 Ontario Premier Division (W) 2025,2025-04-19 14:00:00
261888693,0,9,175392,175403,League1 Ontario Premier Division (W) 2025,2025-04-19 12:00:00
261888694,0,2,175295,175368,League1 Ontario Premier Division (W) 2025,2025-04-19 14:00:00
261888695,3,3,175338,175327,League1 Ontario Premier Division (W) 2025,2025-04-20 19:30:00
261888696,3,0,175403,175309,League1 Ontario Premier Division (W) 2025,2025-04-25 21:00:00
261888697,0,5,175392,175295,League1 Ontario Premier Division (W) 2025,2025-04-26 19:00:00
261888698,2,1,175338,175359,League1 Ontario Premier Division (W) 2025,2025-04-26 19:30:00
261888699,2,4,175368,175327,League1 Ontario Premier Division (W) 2025,2025-04-27 15:00:00
261888700,1,3,183407,175383,League1 Ontario Premier Division (W) 2025,2025-04-28 20:00:00
261888701,2,1,183407,175368,League1 Ontario Premier Division (W) 2025,2025-05-02 19:30:00
261888702,2,0,175359,175403,League1 Ontario Premier Division (W) 2025,2025-05-03 16:00:00
261888703,0,0,175383,175309,League1 Ontario Premier Division (W) 2025,2025-05-03 16:00:00
261888704,6,0,175338,175392,League1 Ontario Premier Division (W) 2025,2025-05-03 19:30:00
261888705,2,0,175295,175327,League1 Ontario Premier Division (W) 2025,2025-05-04 19:30:00
261888706,0,1,175309,175295,League1 Ontario Premier Division (W) 2025,2025-05-10 15:00:00
261888707,0,2,183407,175403,League1 Ontario Premier Division (W) 2025,2025-05-10 19:30:00
261888708,1,2,175368,175359,League1 Ontario Premier Division (W) 2025,2025-05-10 19:00:00
261888709,0,5,175383,175338,League1 Ontario Premier Division (W) 2025,2025-05-10 20:00:00
261888710,2,0,175403,175338,League1 Ontario Premier Division (W) 2025,2025-05-16 21:00:00
261888711,0,1,175383,175295,League1 Ontario Premier Division (W) 2025,2025-05-17 19:00:00
261888712,0,1,175392,183407,League1 Ontario Premier Division (W) 2025,2025-06-14 19:00:00
261888713,3,2,175368,175309,League1 Ontario Premier Division (W) 2025,2025-05-18 17:00:00
261888714,1,4,175327,175359,League1 Ontario Premier Division (W) 2025,2025-05-20 20:00:00
261888715,3,0,175309,175403,League1 Ontario Premier Division (W) 2025,2025-05-24 15:00:00
261888716,1,1,175359,175338,League1 Ontario Premier Division (W) 2025,2025-05-24 18:00:00
261888717,0,0,175383,183407,League1 Ontario Premier Division (W) 2025,2025-05-24 20:00:00
261888718,3,2,175327,175368,League1 Ontario Premier Division (W) 2025,2025-05-25 14:30:00
261888719,1,0,175295,175392,League1 Ontario Premier Division (W) 2025,2025-05-25 16:00:00
261888720,5,3,175403,175327,League1 Ontario Premier Division (W) 2025,2025-05-30 21:00:00
261888721,0,0,175392,175383,League1 Ontario Premier Division (W) 2025,2025-05-31 19:00:00
261888722,5,0,175338,175368,League1 Ontario Premier Division (W) 2025,2025-06-01 19:30:00
261888723,2,0,175359,175309,League1 Ontario Premier Division (W) 2025,2025-06-01 18:00:00
261888724,1,0,183407,175295,League1 Ontario Premier Division (W) 2025,2025-05-30 19:30:00
261888725,3,0,175327,175392,League1 Ontario Premier Division (W) 2025,2025-06-03 20:00:00
261888726,1,4,175327,175338,League1 Ontario Premier Division (W) 2025,2025-06-08 18:30:00
261888727,2,0,175403,175392,League1 Ontario Premier Division (W) 2025,2025-06-06 21:00:00
261888728,0,0,175309,183407,League1 Ontario Premier Division (W) 2025,2025-06-08 15:00:00
261888729,0,2,175383,175359,League1 Ontario Premier Division (W) 2025,2025-06-07 19:00:00
261888730,0,3,175368,175295,League1 Ontario Premier Division (W) 2025,2025-06-08 19:00:00
261888731,1,0,175327,175383,League1 Ontario Premier Division (W) 2025,2025-06-11 20:00:00
261888732,4,0,175403,175368,League1 Ontario Premier Division (W) 2025,2025-06-11 20:30:00
261888733,4,2,175359,183407,League1 Ontario Premier Division (W) 2025,2025-06-11 20:00:00
261888734,5,0,175338,175295,League1 Ontario Premier Division (W) 2025,2025-06-11 21:00:00
261888735,2,1,175392,175309,League1 Ontario Premier Division (W) 2025,2025-06-12 21:00:00
261888736,0,2,175338,175403,League1 Ontario Premier Division (W) 2025,2025-06-14 19:30:00
261888737,1,1,175309,175368,League1 Ontario Premier Division (W) 2025,2025-06-14 18:30:00
261888738,2,0,175295,175383,League1 Ontario Premier Division (W) 2025,2025-06-15 16:00:00
261888739,2,0,175359,175327,League1 Ontario Premier Division (W) 2025,2025-06-15 18:00:00
261888740,2,0,183407,175392,League1 Ontario Premier Division (W) 2025,2025-05-17 19:30:00
261888741,2,2,175359,175368,League1 Ontario Premier Division (W) 2025,2025-06-22 14:00:00
261888742,1,0,175295,175309,League1 Ontario Premier Division (W) 2025,2025-06-22 16:00:00
261888743,1,0,175403,183407,League1 Ontario Premier Division (W) 2025,2025-06-20 21:00:00
261888744,1,0,175338,175383,League1 Ontario Premier Division (W) 2025,2025-06-22 19:30:00
261888745,1,0,175392,175327,League1 Ontario Premier Division (W) 2025,2025-06-21 19:00:00
261888746,1,1,175295,183407,League1 Ontario Premier Division (W) 2025,2025-06-29 17:00:00
261888747,1,2,175327,175403,League1 Ontario Premier Division (W) 2025,2025-06-28 13:00:00
261888748,2,3,175383,175392,League1 Ontario Premier Division (W) 2025,2025-06-28 19:00:00
261888749,0,7,175368,175338,League1 Ontario Premier Division (W) 2025,2025-06-29 15:00:00
261888750,2,3,175309,175359,League1 Ontario Premier Division (W) 2025,2025-06-29 15:00:00
